"","name","pop2018","pop2010","percentChange","popPerElectoralVote","popPerHouseSeat","censusPerHouseSeat","perTotalPopulation","electoralVotes","proportionalElectoral"
"1","Alabama",4887871,4779736,2.3,543097,698267,682819,1.48,9,7.96
"2","Alaska",737438,710231,3.8,245813,737438,710249,0.22,3,1.2
"3","Arizona",7171646,6392017,12.2,651968,796850,710224,2.17,11,11.68
"4","Arkansas",3013825,2915918,3.4,502304,753456,728990,0.91,6,4.91
"5","California",39557045,37254523,6.2,719219,746359,702885,11.96,55,64.42
"6","Colorado",5695564,5029196,13.2,632840,813652,720704,1.72,10,9.28
"7","Connecticut",3572665,3574097,-0.04,510381,714533,714824,1.08,7,5.82
"8","Delaware",967171,897934,7.7,322390,967171,897936,0.29,3,1.58
"9","District of Columbia",702455,601723,16.7,234152,0,0,0.21,3,1.14
"10","Florida",21299325,18801310,13.3,734459,788864,696468,6.44,29,34.69
"11","Georgia",10519475,9687653,8.6,657467,751391,691975,3.18,16,17.13
"12","Hawaii",1420491,1360301,4.4,355123,710246,680151,0.43,4,2.31
"13","Idaho",1754208,1567582,11.9,438552,877104,783826,0.53,4,2.86
"14","Illinois",12741080,12830632,-0.7,637054,707838,712864,3.85,20,20.75
"15","Indiana",6691878,6483802,3.2,608353,743542,720422,2.02,11,10.9
"16","Iowa",3156145,3046355,3.6,526024,789036,761717,0.95,6,5.14
"17","Kansas",2911505,2853118,2,485251,727876,713280,0.88,6,4.74
"18","Kentucky",4468402,4339367,3,558550,744734,723228,1.35,8,7.28
"19","Louisiana",4659978,4533372,2.8,582497,776663,755562,1.41,8,7.59
"20","Maine",1338404,1328361,0.8,334601,669202,664181,0.4,4,2.18
"21","Maryland",6042718,5773552,4.7,604272,755340,721694,1.83,10,9.84
"22","Massachusetts",6902149,6547629,5.4,627468,766905,727514,2.09,11,11.24
"23","Michigan",9995915,9883640,1.1,624735,713994,705974,3.02,15,16.28
"24","Minnesota",5611179,5303925,5.8,561118,701397,662991,1.7,9,9.14
"25","Mississippi",2986530,2967297,0.6,497755,746633,742026,0.9,6,4.86
"26","Missouri",6126452,5988927,2.3,612645,765807,748615,1.85,10,9.98
"27","Montana",1062305,989415,7.4,354102,1062305,989417,0.32,3,1.73
"28","Nebraska",1929268,1826341,5.6,385854,643089,608780,0.58,5,3.14
"29","Nevada",3034392,2700551,12.4,505732,758598,675173,0.92,6,4.94
"30","New Hampshire",1356458,1316470,3,339115,678229,658233,0.41,4,2.21
"31","New Jersey",8908520,8791894,1.3,636323,742377,732658,2.69,14,14.51
"32","New Mexico",2095428,2059179,1.8,419086,698476,686393,0.63,5,3.41
"33","New York",19542209,19378102,0.8,673869,723786,717707,5.91,29,31.82
"34","North Carolina",10383620,9535483,8.9,692241,798740,733498,3.14,16,16.91
"35","North Dakota",760077,672591,13,253359,760077,672591,0.23,3,1.24
"36","Ohio",11689442,11536504,1.3,649413,730590,721032,3.53,18,19.04
"37","Oklahoma",3943079,3751351,5.1,563297,788616,750270,1.19,7,6.42
"38","Oregon",4190713,3831074,9.4,598673,838143,766215,1.27,7,6.82
"39","Pennsylvania",12807060,12702379,0.8,640353,711503,705715,3.87,20,20.86
"40","Puerto Rico",3195153,3725789,-16.6,30000,3195153,3725789,0.97,0,5.2
"41","Rhode Island",1057315,1052567,0.5,264329,528658,526466,0.32,4,1.72
"42","South Carolina",5084127,4625364,9.9,564903,726304,660766,1.54,9,8.28
"43","South Dakota",882235,814180,8.4,294078,882235,814191,0.27,3,1.44
"44","Tennessee",6770010,6346105,6.7,615455,752223,705123,2.05,11,11.03
"45","Texas",28701845,25145561,14.1,755312,797273,698503,8.68,38,46.74
"46","Utah",3161105,2763885,14.4,526851,790276,690972,0.96,6,5.15
"47","Vermont",626299,625741,0.09,208766,626299,625745,0.19,3,1.02
"48","Virginia",8517685,8001024,6.5,655207,774335,727366,2.58,13,13.87
"49","Washington",7535591,6724540,12.1,627966,753559,672454,2.28,12,12.27
"50","West Virginia",1805832,1852994,-2.5,361166,601944,617670,0.55,5,2.94
"51","Wisconsin",5813568,5686986,2.2,581357,726696,710873,1.76,10,9.47
"52","Wyoming",577737,563626,2.5,192579,577737,563767,0.17,3,0.94
